DGRP_630,54.72,70.99,368.3,1304.2,254.8,21.93,68.52,247.8,728.0,126.6,0.36,0.28
DGRP_634,71.16,53.44,293.5,1107.7,229.5,35.54,81.02,273.3,946.7,149.7,0.36,0.56
DGRP_639,50.82,78.43,224.9,852.2,219.5,35.27,83.81,235.1,826.0,146.8,0.47,0.70
DGRP_642,76.99,12.69,354.1,1451.2,296.8,51.96,73.95,399.7,1108.7,191.8,0.68,0.40
DGRP_69,57.99,75.34,330.0,1411.1,277.8,27.36,72.92,337.7,1152.5,160.2,0.50,0.40
DGRP_703,30.62,69.01,335.6,1307.1,348.0,31.99,64.19,308.2,858.4,158.9,0.68,0.32
DGRP_705,28.94,91.60,403.3,1723.7,277.5,29.66,43.57,300.3,1213.4,159.1,0.32,0.32
DGRP_707,62.59,69.05,339.4,1380.0,274.7,45.86,57.50,336.5,1111.3,178.7,0.24,0.86
DGRP_712,46.56,75.76,294.0,1227.3,263.1,23.86,70.09,235.8,748.8,137.1,0.60,0.76
DGRP_714,52.18,71.59,354.1,1404.7,273.1,23.15,69.52,261.2,778.3,148.3,0.71,0.27
DGRP_716,54.29,63.81,452.5,1659.4,310.9,36.75,64.81,308.7,1051.3,159.4,0.88,0.48
DGRP_721,53.95,76.87,346.4,1709.6,268.6,39.29,67.26,334.0,1429.1,167.6,0.16,0.16
DGRP_727,56.01,57.95,459.3,1803.8,311.2,30.87,82.09,361.4,1273.2,183.7,0.96,0.52
DGRP_73,48.61,67.11,332.8,1226.5,281.7,23.74,81.53,321.9,952.9,165.6,0.92,0.44
DGRP_730,73.61,62.09,538.9,2501.8,310.0,44.93,71.54,427.1,1749.1,188.8,0.94,0.56
DGRP_732,42.04,84.69,311.9,1219.6,263.9,30.22,61.04,277.8,836.7,153.1,0.66,0.94
DGRP_737,75.33,19.71,368.8,1505.8,268.6,33.82,92.70,319.6,1025.9,135.4,0.84,0.60
DGRP_738,65.24,47.58,372.2,1477.0,320.5,53.78,56.04,387.6,1194.4,183.8,0.96,0.48
DGRP_748,96.53,38.67,347.3,1757.6,310.0,51.61,65.52,320.9,1295.3,153.5,0.68,0.56
DGRP_75,74.07,43.72,353.0,1611.1,297.6,33.98,85.74,273.5,1067.6,146.4,0.80,0.84
