DGRP_810,0.237,0.018,0.217,0.005,0.496,0.32
DGRP_812,0.200,0.014,0.227,0.008,0.445,0.68
DGRP_818,0.431,0.016,0.042,0.001,0.881,0.40
DGRP_819,0.269,0.014,0.110,0.004,0.677,0.44
DGRP_820,0.412,0.025,0.056,0.001,0.834,0.31
DGRP_821,0.486,0.018,0.063,0.001,0.855,0.08
DGRP_822,0.287,0.021,0.086,0.002,0.725,0.28
DGRP_83,0.410,0.019,0.114,0.002,0.753,0.76
DGRP_832,0.524,0.017,0.028,0.000,0.921,0.60
DGRP_837,0.318,0.022,0.171,0.008,0.613,0.44
DGRP_843,0.345,0.025,0.109,0.003,0.718,0.44
DGRP_849,0.345,0.025,0.125,0.004,0.692,0.84
DGRP_85,0.329,0.024,0.119,0.002,0.694,0.64
DGRP_850,0.526,0.019,0.049,0.001,0.884,0.40
DGRP_852,0.266,0.019,0.156,0.002,0.600,0.61
DGRP_853,0.404,0.022,0.112,0.002,0.747,0.68
DGRP_855,0.226,0.017,0.178,0.004,0.532,0.64
DGRP_861,0.288,0.018,0.141,0.003,0.638,0.76
DGRP_88,0.304,0.031,0.064,0.002,0.759,0.36
DGRP_91,0.308,0.016,0.035,0.001,0.856,0.52
DGRP_913,0.381,0.027,0.112,0.002,0.731,0.44
DGRP_93,0.262,0.027,0.149,0.004,0.594,0.12
