date,series,female.line,n.female,female.age,male.line,n.male,male.age,mate.time1,mate.time2,mate.time3,mate.time4,mate.time5,n.mate.1hr,n.mate.2hr,ratio.1hr,ratio.2hr
,,,,,,,,,,,,,0,0,0,0
,,,,,,,,,,,,,,,0,0
8024,44,Z30,5,6,181,10,3,NA,NA,NA,NA,NA,,0,0,0
3-Aug,19,Z30,5,6,181,10,7,NA,NA,NA,NA,NA,,0,0,0
5-Aug,58,Z30,5,5,181,10,9,NA,NA,NA,NA,NA,,0,0,0
,,,,,,,,,,,,,0,0,0,0
,,,,,,,,,,,,,,,0,0
8024,46,Z30,5,6,189,10,3,NA,NA,NA,NA,NA,,0,0,0
3-Aug,21,Z30,5,6,189,10,7,NA,NA,NA,NA,NA,,0,0,0
5-Aug,60,Z30,5,5,189,10,9,NA,NA,NA,NA,NA,,0,0,0
,,,,,,,,,,,,,0,0,0,0
,,,,,,,,,,,,,,,0,0
8024,47,Z30,5,6,195,10,3,101.1011905,102.1011905,NA,NA,NA,,2,0,0.4
3-Aug,22,Z30,5,6,195,10,7,78.73728814,NA,NA,NA,NA,,1,0,0.2
7-Aug,1,Z30,5,6,195,10,6,NA,NA,NA,NA,NA,,0,0,0
14-Aug,1,Z30,5,8,195,10,5,NA,NA,NA,NA,NA,,0,0,0
,,,,,,,,,,,,,0,3,0,0.15
,,,,,sumsq,,,,,,,,,,0,0.2
7-Aug,9,Z30,5,6,208,10,4,NA,NA,NA,NA,NA,,0,0,0
10-Aug,1,Z30,5,7,208,10,5,NA,NA,NA,NA,NA,,0,0,0
12-Aug,1,Z30,5,8,208,10,5,NA,NA,NA,NA,NA,,0,0,0
13-Aug,1,Z30,5,8,208,10,6,NA,NA,NA,NA,NA,,0,0,0
18-Aug,19,Z30,5,10,208,10,5,NA,NA,NA,NA,NA,,0,0,0
19-Aug,27,Z30,5,11,208,10,6,NA,NA,NA,NA,NA,,0,0,0
24-Aug,23,Z30,5,14,208,10,8,NA,NA,NA,NA,NA,,0,0,0
8=05,10,Z30,5,15,208,10,4,NA,NA,NA,NA,NA,,0,0,0
8=15,26,Z30,5,11,208,10,7,NA,NA,NA,NA,NA,,0,0,0
